corrida,fitness,tiempo,interaccion,blosum
1,-13061.799999839053,18.969481229782104,1,1
2,-13461.799999717896,20.9799542427063,0,0
3,-14245.799999881967,19.186701774597168,0,0
4,-12842.799999929442,20.69040060043335,1,1
5,-12465.799996024032,20.59203338623047,0,0
6,-11963.799998683866,19.691638469696045,2,2
7,-13989.799999919682,19.491180181503296,2,2
8,-14852.799998693225,18.32180166244507,2,2
9,-13982.79999993802,18.39108896255493,3,3
10,-13228.799999942465,18.130438089370728,0,0
11,-13892.799999803134,18.41944146156311,0,0
12,-13652.799999924584,18.470936059951782,3,3
13,-13496.79999992955,18.724693536758423,3,3
14,-13127.799999900122,18.62161660194397,1,1
15,-13587.799971306955,18.21100926399231,2,2
16,-12467.799999805668,18.274607181549072,3,3
17,-13436.799999901821,18.319888591766357,3,3
18,-13398.799998645849,18.516778230667114,2,2
19,-12821.799999960911,19.152016639709473,0,0
20,-12852.799999944926,18.708348035812378,3,3
21,-12418.799999960009,19.303495168685913,2,2
22,-14055.799999895738,19.418399810791016,1,1
23,-12606.799999897368,18.860961198806763,1,1
24,-12743.799999727424,18.255244970321655,1,1
25,-13030.799979487025,18.39928388595581,2,2
26,-14601.799999758467,18.197139739990234,1,1
27,-12209.799999971374,18.027580976486206,1,1
28,-13699.799999594368,18.30234932899475,0,0
29,-12542.799999523013,18.57355046272278,0,0
30,-12344.799999426335,18.365721940994263,2,2
